step,epoch,train_cnt,avg_reward,avg_q,epsilon,time
1000,0,1000,-21.0,186.146532459,0.99,575.066429138
2000,0,2000,-21.0,185.515439154,0.98,1031.97756815
3000,0,3000,-18.5,185.360238082,0.97,1517.857687
4000,0,4000,-19.0,185.248626918,0.96,1991.42538309
5000,0,5000,-19.25,185.12984161,0.95,2479.79525614
6000,0,6000,-19.6666666667,185.093198727,0.94,3725.9605751
7000,0,7000,-19.6666666667,185.143214941,0.93,4277.92047
8000,0,8000,-19.7142857143,185.107826017,0.92,4798.25166798
9000,0,9000,-19.75,185.067942925,0.91,5260.70264316
10000,0,10000,-19.8,185.052027969,0.9,5733.49766803
11000,0,11000,-19.9090909091,186.898413258,0.89,6992.84753108
12000,0,12000,-20.0,188.470019443,0.88,7444.23699808
13000,0,13000,-20.0769230769,189.810377593,0.87,7895.28343797
14000,0,14000,-20.0714285714,190.94914085,0.86,8345.26833606
15000,0,15000,-20.0714285714,191.92522265,0.85,8796.57641602
16000,0,16000,-20.1333333333,192.797650179,0.84,9247.70040703
17000,0,17000,-20.125,193.549948029,0.83,9704.28600812
18000,0,18000,-20.1764705882,194.205227498,0.82,10167.2087421
19000,0,19000,-20.2222222222,194.808006123,0.81,10623.520225
20000,0,20000,-20.2631578947,195.325471965,0.8,11088.182606
21000,0,21000,-20.2631578947,193.915844641,0.79,12348.602493
22000,0,22000,-21.0,192.650836173,0.78,12799.6813941
23000,0,23000,-21.0,191.48157863,0.77,13262.5071342
24000,0,24000,-21.0,190.410709964,0.76,13713.161129
25000,0,25000,-21.0,189.418265734,0.75,14164.2787921
26000,0,26000,-20.96,188.526349211,0.74,14616.0540171
27000,0,27000,-20.9615384615,187.699859221,0.73,15068.1563442
28000,0,28000,-20.9642857143,186.925975717,0.72,15521.678544
29000,0,29000,-20.9655172414,186.195803143,0.71,15973.6620891
30000,0,30000,-20.9666666667,185.522332629,0.7,16436.6694422
31000,0,31000,-20.9666666667,182.329768218,0.69,17693.3822961
32000,0,32000,-21.1875,179.336729825,0.68,18145.797606
33000,0,33000,-21.1818181818,176.532127985,0.67,18602.7792711
34000,0,34000,-21.1764705882,173.881546552,0.66,19056.853904
35000,0,35000,-21.1428571429,171.384887194,0.65,19508.313153
36000,0,36000,-21.1388888889,169.026321707,0.64,19962.523066
37000,0,37000,-21.1351351351,166.788602041,0.63,20415.9623661
38000,0,38000,-21.1315789474,164.681982628,0.62,20882.2838941
39000,0,39000,-21.1282051282,162.680538519,0.61,21335.0462592
40000,0,40000,-21.075,160.776050456,0.6,21796.051856
